Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2020-12-30 23:56:43+00:00,1344432259097653249,"2020 was meant to be the year of climate action. Instead, it crowned a wasted decade #ClimateCrisis https://t.co/IrZWpSMCUJ",basementvegan,False,13836,Vaccinated✌️ in Georgia,0,3,7,
2020-12-30 23:55:30+00:00,1344431954301767682,"Only through an awakened sense of who we are will we transform our perceptions, our actions and then our realities - both for our benefit and vitally that of our planet.
#spirituality #meditation #IQRTG #wednesdaythought #Mindfulness #thursdaymorning #ClimateCrisis https://t.co/UxTObRXRIf",PeterStrother,False,3149,Highlands of Scotland,0,1,8,"[Photo(previewUrl='https://pbs.twimg.com/media/EqhhvJrXIAcD8bI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqhhvJrXIAcD8bI?format=jpg&name=large')]"
2020-12-30 23:54:25+00:00,1344431681160290306,"Having 2 Cyclones in a row 2019, 2020 is evident enough that we are leaving in a #ClimateCrisis. I am trying to imagine the fear and mental damage this has brought to people in #Chimanimani . In this pic they were being evacuated to safer places. 

#TropicalStormChalane https://t.co/9ugNzrmAkH",lizgulaz,False,3445,Zimbabwe,1,4,17,"[Photo(previewUrl='https://pbs.twimg.com/media/EqhheU6WMAYQGVx?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqhheU6WMAYQGVx?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Eqhhe8pW8AA93bg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eqhhe8pW8AA93bg?format=jpg&name=large')]"
2020-12-30 23:51:44+00:00,1344431004967174148,"Given that it’s been freakin raining most of the day - in December, in Ontario 😳🤦‍♀️ - this seems like the sadly app choice to close out the 2020 #ChristmasMovie season... 😖⛄️🌎🔥 #ClimateCrisis #CanadiansLoveClimateChange https://t.co/jmqD8auyf1",SandboxGrrl,False,733,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Eqhg2-IXMAAKxxJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eqhg2-IXMAAKxxJ?format=jpg&name=large')]"
2020-12-30 23:44:36+00:00,1344429208148332545,"Lab grown meat, possibly a start in the right direction, is not a solution. It requires fetal bovine serum, taken from the fetuses of slaughtered pregnant cows.  It does not solve the animal cruelty or environmental problems. #AnimalCruelty #ClimateCrisis https://t.co/7m0758pas1",GryphonsPerch,False,96,An Internet POP near you,0,0,0,
2020-12-30 23:41:34+00:00,1344428446470950912,#GlobalWarming  #ClimateEmergency #ClimateChange #ClimateAction #StopCarbon #ClimateCrisis #StopAdani #StopBravus,PhotographixByJ,False,1188,"Geelong, Victoria",0,0,0,
2020-12-30 23:38:41+00:00,1344427721510805505,@iwaslabour Mange our earth as if life matters thank you keep up the good work #buzzofftoxic #ClimateCrisis https://t.co/A3721O9L9a,buzz_us,False,15268,Pembrokeshire Wales UK,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Eqhd4w9XcAEATVc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eqhd4w9XcAEATVc?format=jpg&name=large')]"
2020-12-30 23:32:49+00:00,1344426242515345408,"With a #Biden presidency just weeks away, @MichaelEMann joins @mehdirhasan to break down how the new administration may tackle climate issues, and why there's hope that the #ClimateCrisis may be properly addressed. https://t.co/cx7TjTTVCH",jftaveira1993,False,2295,Portugal,1,15,44,
2020-12-30 23:32:29+00:00,1344426160588021761,"@RoyPentland @sueytonius @PeterDClack @fcmfcs2019 @DKashmiri_ @d_e_mol @ejwwest @erskinedaniel @jch_of @swcrisis @mentalmal1 @thinks_about_it @HMS_Indomitable @NikolovScience @Kenneth72712993 @jimdtweet @MedBennett @SnarkyDr @Zane1968 @caerbannog666 @dan613 @91996340e81d45a @dianeclectica @glaser_holly @erlhel @MonkeyMyBack @AtomsksSanakan @JWildhardt @5_cambridge @tracemetalclean @ATomalty @toddynd @AndrewFleische7 @PolAnimalAus @VWatcher56 @insulrpeninsula @NoelTurner194 @GillesnFio @SylviaD32911201 @flyonthewall182 @PeterJrgen12 @RushhourP @HardFastAndFree @3GHtweets @RetributiaNorb @SA_TEXROD @waitwha35825253 @chrismothman1 @LynnRahn1 @trippfunderburk Nice cartoon, Roy... what comic book is that from?

#ClimateBrawl #ClimateCrisis #climatechange",GeraldKutney,False,67606,"Ottawa, Ontario",6,1,11,
2020-12-30 23:30:04+00:00,1344425551352770562,2020 – The Year in Blog Posts https://t.co/m5IfBTDKrA #greenparty #greens #ecosocialism #climateaction #climatecrisis #climateemergency #environment #climatestrike #extinctionrebellion #socialism #socialecology #capitalism #Year2020 https://t.co/U4yW62p5p3,MikeShaugh,False,516,,0,2,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Eqhb6DQW4AAEtRP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eqhb6DQW4AAEtRP?format=jpg&name=large')]"
