Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2020-12-30 20:08:01+00:00,1344374705596338176,"In the space of only a 2 or 3 minutes in HoC today, Johnson extolled ""Green energy"", ""Green technology"", and ""Green industrial zones"". 
The extent to which he has demonstrably been captured by the #ClimateScam &amp; the #eco-corporatist lobby is alarming. It may yet bring him down.",A_Liberty_Rebel,False,18306,South Coastal UK,0,2,5,
2020-12-30 12:16:34+00:00,1344256061507776512,@papajoh06631138 @jeannetix 🤣 #climatechange #ClimateScam https://t.co/Ge5ZbGJpjk,ScubaHobbs,False,718,Hopeless Agnostic,0,0,2,"[Photo(previewUrl='https://pbs.twimg.com/media/EqfBmxvXUAYLcC5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EqfBmxvXUAYLcC5?format=jpg&name=large')]"
2020-12-30 09:42:29+00:00,1344217282189389826,"#ClimateEmergency #climatechange
#climatescam

https://t.co/NT3gCvbBjY",RichardMitton4,False,33,,0,0,0,
2020-12-29 23:15:17+00:00,1344059442933899264,@DawnTJ90 @markbjardine Prince Charles just told us this is the very last moment to act. #ClimateScam,mogrant61,False,3161,north west alberta,2,1,2,
2020-12-29 14:43:15+00:00,1343930585920770049,"@DonArturito Greta is een jongen en klimaatopwarming is een scam. #climatescam 
Komt notabene uit Zweden waar makkelijk 20 graden per dag warmer kan en dat gigantische co2 uitstoot scheelt.",AbelFris,False,4752,"Rotterdam, Nederland",0,0,2,
2020-12-29 14:39:33+00:00,1343929653807951875,@DonArturito Greta is een jongen en klimaatopwarming is een scam. #climatescam,AbelFris,False,4752,"Rotterdam, Nederland",0,0,0,
2020-12-29 14:38:53+00:00,1343929485628993536,@GretaThunberg Climatescam,AbelFris,False,4752,"Rotterdam, Nederland",2,0,2,
2020-12-29 14:28:30+00:00,1343926876276883456,@HuffPostCanada Hopefully this lazy climate reporting happens in cycles - so many dire predictions of climate disaster. Never comes true. All about the money #ClimateScam,NatGas_CDN,False,46,"Calgary, Alberta",0,1,0,
2020-12-29 07:47:20+00:00,1343825919568330752,"All about the ongoing promotion of the #climatescam
NEVER about facts and the #truth.
Sack those that tell the truth.",AussieFaa,False,437,The World,0,1,0,
2020-12-28 22:37:58+00:00,1343687663380025346,@disclosetv #ClimateScam clown.,cahtx01,False,902,TEXAS ,0,0,0,
