Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2021-12-30 23:25:02+00:00,1476695854299893763,"Our work with @CamdenCouncil to improve safety, reduce #CarbonEmissions and improve air quality in #CoventGarden started this month.

Find out more about our trial at https://t.co/CmyvIJSdXj and share your views.",CityWestminster,True,30963,"Westminster, London",3,2,2,
2021-12-30 23:00:39+00:00,1476689720289726470,"With buildings currently accounting for nearly 40% of global #CarbonEmissions, the need to improve their environmental performance has never been greater. Read our latest white paper to discover  a pathway to #sustainability https://t.co/UwW6TcFg9c https://t.co/dvd02rVnmk",Frost_Sullivan,True,16728,"Santa Clara, CA",0,0,2,"[Photo(previewUrl='https://pbs.twimg.com/media/FH5BebNXwAcDCXt?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FH5BebNXwAcDCXt?format=jpg&name=large')]"
2021-12-30 22:35:44+00:00,1476683450774130690,"🌎 🏭 📦  ""This year, a lot of planning was done around #fashionsustainability - but less action. The biggest theme as we head into 2022 is the interconnection between #carbonemissions, #equity and #supplychain.""

#sustainability #COP26 #UnitedNations https://t.co/X4dYDKiBhN",SealandFlynn,False,160,"Newport Beach, CA",1,1,0,
2021-12-30 20:25:00+00:00,1476650548468330499,#BRI has so far only contributed to the rise of GHGs and not to the GDP of the host countries. Is #China accruing economic benefits while exporting #carbonemissions to BRI nations? From @Renita0911. https://t.co/AxT7RccDby,orfonline,True,116351,India,0,0,0,
2021-12-30 20:09:00+00:00,1476646521940623362,How do carbon markets work? https://t.co/WMGHBGlXkl #carbonemissions #climatechange #ESG #globalwarming #business #money https://t.co/SXEqpj4c86,StanleyEpstein,False,4999,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FH1HzHiX0AInIKu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FH1HzHiX0AInIKu?format=jpg&name=large')]"
2021-12-30 19:26:27+00:00,1476635814901788681,"#Scientists say:

💡The best solution is, in the first place, to #reduce its emissions by combining an environmentally and socially #sustainable #lifestyle.

💡#Compensate is the last thing we should do to address #CarbonEmissions after #eliminating and reducing what can be done.",LuVannier,False,312,Nantes,1,0,0,
2021-12-30 16:48:11+00:00,1476595984004231168,"🌎 🏭 📦  ""This year, a lot of planning was done around #fashionsustainability - but less action. The biggest theme as we head into 2022 is the interconnection between #carbonemissions, #equity and #supplychain.""

#sustainability #COP26 #UnitedNations https://t.co/jAMjU86sFE",rkmudigonda,False,3396,Atlanta,0,1,0,
2021-12-30 14:30:15+00:00,1476561274653843461,"🌎 🏭 📦  ""This year, a lot of planning was done around #fashionsustainability - but less action. The biggest theme as we head into 2022 is the interconnection between #carbonemissions, #equity and #supplychain.""

#sustainability #COP26 #UnitedNations https://t.co/NHUuumgncP",mdgrimwood,False,480,Toronto,0,1,0,
2021-12-30 14:00:35+00:00,1476553809388347392,"Makindye Ssabagabo faces a lack of affordable &amp; green housing, exacerbating the city’s ability to reduce #carbonemissions. Can you help develop scalable, green tech to accommodate the growing population sustainably? https://t.co/PSZo1QhCfn #ClimateSmartCitiesChallenge https://t.co/uPGE8r5Jo6",Challenge_Works,False,4407,London,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FH3F3B4WUAATZiV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FH3F3B4WUAATZiV?format=jpg&name=large')]"
2021-12-30 13:00:25+00:00,1476538666285731841,"#Charleston, #SouthCarolina, is taking steps towards increasing #environmentalawareness through its Climate Action Plan and Sustainability Advisory Committee. By 2030, the city aims to reduce #carbonemissions 56% below 2018 values &amp; ultimately be #carbonneutral by 2050. 🌳🎼 https://t.co/4l2JH7cPjk",ecomadic,False,418,"New York, NY",0,0,4,"[Photo(previewUrl='https://pbs.twimg.com/media/FH24F45XoAEKeyi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FH24F45XoAEKeyi?format=jpg&name=large')]"
2021-12-30 12:56:24+00:00,1476537657647943687,"2021: Year of India’s Commitment to Net Zero Carbon Emissions

#CarbonEmissions #Environment #COP26 #India #SDG  #TatsatChronicle

@moefcc | @AshwiniKChoubey | @India4Climate | @UNFCCC | @EUEnvironment | @PMOIndia 

https://t.co/GEga3PVY75",TatsatChronicle,False,1121,"Delhi, India",0,0,0,
