Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2021-12-30 23:59:59+00:00,1476704651672129539,@MatthewCappucci @MyRadarWX No doubt event attribute studies will occur as soon as possible for this event which links it scientifically to climate change.,ThomasMPaulson1,False,350,"Arcata CA, 95521",0,0,1,
2021-12-30 23:59:52+00:00,1476704620990795797,"This is a direct result of our inaction towards climate change. We can go on pretending nothing's wrong but the facts speaks for itself.

We must do better because we can do better. Let's be adults about this and move on. 
#FreshEarth🌿 #ClimateNightmare!  https://t.co/DtLXVHsnZX",LopezResists,False,46557,#EarthJustice,7,51,74,
2021-12-30 23:59:51+00:00,1476704618474213391,"Two new @realkmmag articles on #knowledgemanagement and #climatechange

#km #kmers #climatescience #evidencebased #hurricanes @mjo #openaccess",BruceBoyes,False,6229,Canberra,1,2,0,
2021-12-30 23:59:51+00:00,1476704617639591938,The rare spots of good news on #climatechange https://t.co/L0525nhIyd,rachelloumiller,False,59852,"Fresno, CA",0,0,0,
2021-12-30 23:59:51+00:00,1476704616939098125,View of the #MarshallFire smoke from Golden. It’s late December and wildfire season in Colorado. Climate change is not a distant threat. It’s here. #DontLookUp https://t.co/nhnce3oiKN,DylanHAtlas,False,209,"Fort Collins, CO",0,0,4,"[Photo(previewUrl='https://pbs.twimg.com/media/FH5PBDyVUAIr9c-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FH5PBDyVUAIr9c-?format=jpg&name=large')]"
2021-12-30 23:59:50+00:00,1476704612744794129,"1. Semantics got (a bit) more serious

Action starts w/ the way we think &amp; talk about things.

Catalyzed by the IPCC report &amp; events like COP26, the climate change narrative slowly shifted from “it's happening to us &amp; we're F'd” to “lots of people are working hard to stop it” 💪.",nickvanosdol,False,1790,Brooklyn,1,0,0,
2021-12-30 23:59:42+00:00,1476704581543366688,@OliviaGranted We finished https://t.co/ZnwirX9XHD an animation about fire and climate change. The only CV 19 silver lining. Get well fast!,LFCBetsy,False,211,California,0,0,1,
2021-12-30 23:59:40+00:00,1476704572508835860,the only critique of don’t look up that I’ll offer is that casting the guy who has a documentary about climate change in the satire about climate change was either brillant or misguided and I can’t decide which,roastmalone_,False,40585,Jupiter,1,0,24,
2021-12-30 23:59:30+00:00,1476704531148849153,"@TravC77 @GhostPanther I’m very anxious about many things for years, Climate Change is maybe 4-th or 5-th place in the list. I don’t need a cringey movie to teach me about being anxious.",noop_dev,False,161,Republic of Belarus,0,0,0,
2021-12-30 23:59:26+00:00,1476704512085737480,"Participation is strong in many demos. Inclusivity is snowballing. Labor, land use and climate change will be the challenges of the foreseeable future. But I'm so bullish on the game because humans will always crave walking outside in nature with friends and family (and dogs)",BrandonTucker,True,5566,"Austin, TX",1,0,13,
2021-12-30 23:59:07+00:00,1476704435397140481,@LiberationPill Imagine being against climate change and making fun of people who suggest it's partially an individual consumer virtue issue.,feralmeme,False,894,"The Sheetz Belt, USA",0,0,0,
2021-12-30 23:59:07+00:00,1476704432066813952,Sad to see how many of these are related to #ClimateChange . Beautiful images tho 🥲,sharpmelk,False,1591,She/Her,1,0,3,
2021-12-30 23:58:55+00:00,1476704381407957024,"""To say that climate change will be catastrophic hides a cascade of value-laden assumptions that do not emerge from empirical science.""

Richard Lindzen, atmospheric physicist MIT 1983-2013 (retired), published more than 200 scientific papers &amp; books, contributor to IPCC",moneytalkstweet,False,6908,,0,4,10,
