Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2022-09-04 23:57:17+00:00,1566576162293391362,#ClimateCrisis,danal01,False,177,,0,0,1,
2022-09-04 23:56:08+00:00,1566575873746149380,"When #climatechange was known as #GlobalWarming not long before  that ozone layer depletion and all that acid rain.
#ClimateCrisis https://t.co/XMgZVFpSDr",Nagpurninja,False,980,Ireland,0,1,4,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1566575828120621056/pu/img/2QDozMu7ao-HYJJ7.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1566575828120621056/pu/pl/uUVAWTRt6wPCLDAW.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566575828120621056/pu/vid/616x360/o1jrVl1JPa30-KD9.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566575828120621056/pu/vid/462x270/uNGJSbZm_aQkuO7j.mp4?tag=12', bitrate=256000)], duration=136.067, views=56)]"
2022-09-04 23:55:21+00:00,1566575676747948033,"According to the weather station on the roof, it's 101.8 outside. I checked previous years and in 2009 the highest it got here that week was 84 but it was generally in the mid-60's to low-70's. The #ClimateCrisis is real.",diana_1138,False,87,Northern California,0,0,0,
2022-09-04 23:54:56+00:00,1566575570976129027,@mikerainham @ExtinctionR @alainamwood 20+ years using gas would make net zero emissions by 2050 impossible. It's already accepted that targets cannot be met because governments repeatedly fail to keep agreed reductions. It's an existential disaster that's inevitable because of selfish human nature. #ClimateCrisis https://t.co/wvd1K5hBku,Sundancer_UK,False,2416,Neverland,1,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2YLgnXEAcyHCb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2YLgnXEAcyHCb?format=jpg&name=large')]"
2022-09-04 23:54:28+00:00,1566575455162990592,"@timfarron WTF are you talking about?! The Tories have been dragging us down for over 12yrs, it'll only get worse with Truss!! 😡#Poverty #CostOfLivingCrises #ClimateCrisis #ClimateChaos",anoncitizenhere,False,3310,London,0,0,0,
2022-09-04 23:53:40+00:00,1566575252800356352,"#ClimateChangeIsReal by the amount of dead and dying trees in Lake Tahoe.
#Republicans who deny ClimateCrisis need to go.
#CA04",Alpine1280,False,3756,"San Diego, CA",0,0,0,
2022-09-04 23:47:10+00:00,1566573615319056387,"Don’t believe the hype.

 #electriccars #EV #EMobilily #ElecteicVehicles #Automotive #Sustainable #eVTOL #Lithium #zeroemissions #cars 🚗 #Recycling #ClimateScam #ClimateCrisis #liar #climate #DementiaJoe https://t.co/3416e8goY3",meteorclaim,False,1211,"New Jersey, USA",0,1,1,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2WZioXEAE0Vx5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2WZioXEAE0Vx5?format=jpg&name=large')]"
2022-09-04 23:46:51+00:00,1566573536726196230,"@Nobodybutme17 Oh anonymous one, why are you pretending not to know the meaning of the term ""climate denier?""

#ClimateBrawl #ClimateCrisis #ClimateEmergency",GeraldKutney,False,67605,"Ottawa, Ontario",7,2,19,
2022-09-04 23:46:32+00:00,1566573458561155075,"Anybody reading this. There is hope for climate change. Recycle more. Plant things like trees. Get less plastic. Use a compost bin. Little things like that are a huge help. Ignoring it is as worse ad contributing to it. There is hope.
#ClimateAction #ClimateCrisis #environment",SammyRL_SSS,False,18,,0,0,0,
2022-09-04 23:45:48+00:00,1566573274632314881,"Earth for All: A Survival Guide for Humanity — Earth4All

#auspol #qldpol #ClimateCrisis time for #ClimateAction #SDG13

#TellTheTruth 

⁦@AlboMP⁩ ⁦@Bowenchris⁩ ⁦@tanya_plibersek⁩ ⁦@meaghan_scanlon⁩ 

⁦@abcnews⁩ #TheDrum  https://t.co/BKUhCQxnni",Jackthelad1947,False,35406,"Cairns, Queensland",0,2,1,
2022-09-04 23:45:40+00:00,1566573239517663232,"#Queensland activist Ben Pennings ordered to relinquish his #Adani files. Pennings could lose his house, customised to support a disabled child. This is the company that ⁦@AnnastaciaMP⁩’s Govt supports, defends &amp; protects. #qldpol #ClimateCrisis  https://t.co/uhqAiagikq",natecochrane,True,10867,"Luna, Aitken Basin",1,7,11,
2022-09-04 23:42:59+00:00,1566572565086326784,#ClimateCrisis 🤡🤡🤡,Soviet_1945_,False,247,"Москва, Россия ✯ ",0,0,2,
2022-09-04 23:41:01+00:00,1566572070510682112,The economic sacrifice to meet the Paris Agreement objectives would be colossal - The “Climate Crisis” Is Not Your Opportunity to Save the World https://t.co/pm8y14N17k #ClimateJustice #ClimateCrisis #SundayThoughts,mkt3id,False,88,,0,0,3,
2022-09-04 23:40:55+00:00,1566572044166184960,"#ClimateCrisis
'Rare' heavy rainfall floods homes and roads in northwest Georgia, prompts state of emergency

https://t.co/pP1gSlnRK0",GrammaGaz,False,32239,"Buena Park, CA",0,0,1,
2022-09-04 23:40:09+00:00,1566571852662702082,@GottaLaff Horrific and the hunt for suspects has expanded to to other provinces. #SaskatchewanMassStabbings,carolleisa,False,6858,NYCViaWis,0,0,0,
2022-09-04 23:40:01+00:00,1566571817015209984,"@toadmeister @Jahbalon We don't have a '#ClimateEmergency'.
Global tyrants have a resistance-to-global-tyranny emergency.
#Climate #ClimateCrisis #ClimateChange",Libertyworld,False,12138,The United States of America,0,1,1,
2022-09-04 23:38:53+00:00,1566571532482007041,"Do you know about this fake pro-climate group? https://t.co/2t5mbIcawx

If you're interested, strategically and otherwise, in accurate info on the #ClimateCrisis, follow @billmckibben, @350, @ThirdActOrg, @ExtinctionR, and other such groups!",RevJSS,False,582,Fremont CA,0,0,1,
