Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2019-12-30 23:00:12+00:00,1211784075842904064,"2020 Resolution: Be a Good Traveler and fly #CarbonNeutral. Join SEA Airport in offsetting your carbon emissions.
https://t.co/JdnHynHc8q https://t.co/cZM8irLkAK",flySEA,True,39876,"SeaTac, WA",0,0,5,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEfMT-XUAI2Wt0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEfMT-XUAI2Wt0?format=jpg&name=large')]"
2019-12-30 20:20:29+00:00,1211743884059000833,"I am pleased to announce that I will be continuing in the @BRSCCMazda MX-5 Championship in 2020 with @Go4ItRacing and @ChangethisLtd , looking to climb up the order and showcase the exciting opportunities of Carbon Neutral Racing. #MX5 #Motorsport #RacingDad #CarbonNeutral https://t.co/tyJ1M1QHHJ",TobyOwenRacing,False,64,"West Midlands, England",0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1211743643394039811/pu/img/undY2PRy2NI7AuWW.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1211743643394039811/pu/vid/720x1280/jyNYB_vLCE7NztmG.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1211743643394039811/pu/vid/320x568/ekIkszMFJJgR1Uac.mp4?tag=10', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1211743643394039811/pu/vid/360x640/C9zgGvPWzHhkE3Ey.mp4?tag=10', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1211743643394039811/pu/pl/LrBY5bwqQ9sHSSZE.m3u8?tag=10', bitrate=None)], duration=71.6, views=7)]"
2019-12-30 18:02:00+00:00,1211709031116681216,"It is Basic Math, But It Works: Carbon Neutrality

#CarbonNeutral #CarbonFootprint #CarbonOffset #CarbonTax #CarbonEmission #ClimateChange

https://t.co/8eUFhO9BkZ",CarbonAndMore,False,793,Toronto,0,0,0,
2019-12-30 16:57:33+00:00,1211692811243937794,@_CarbonNeutral Facts,Nanaganzz,False,503,"Texas, USA",0,0,0,
2019-12-30 16:52:11+00:00,1211691460749414400,"ICYMI @BankofEngland's Mark Carney issues #climatechange warning on @BBCr4today, “A question for every company, every financial institution, every asset manager, pension fund or insurer: what’s your plan? #investmentoutlook #carbonneutral #singlestockETPs  https://t.co/EOAAOFxumz",GraniteSharesUK,False,232,London,0,0,0,
2019-12-30 16:29:37+00:00,1211685782827798529,@_CarbonNeutral You right bro! That’s what I hate is all the anime elitist that know every little detail or read the manga about every show and try to discredit my thoughts or opinions by saying I’m not a true fan or something ya know?,Nanaganzz,False,503,"Texas, USA",0,0,0,
2019-12-30 15:13:15+00:00,1211666567370547200,"hey @coldplay , did you find a way to make your next tour more environmentally friendly yet? 🤔

#coldpay #sustainabletravel #carbonoffsetting #carbonneutral
#climateproject #greentripper",_Greentripper,False,441,,0,0,0,
2019-12-30 15:11:41+00:00,1211666171579252736,"Are you taking a flight to your next travel destination? 🤔

#sustainabletravel #carbonneutral #travel #carbonoffsetting #climateproject #greentripper",_Greentripper,False,441,,0,0,0,
2019-12-30 15:00:44+00:00,1211663414805893120,"How are some of the world’s biggest investors taking effective action to ensure #carbonneutral portfolios by 2050? Michael Kjeller, @FolksamMedia Head of Asset Management and Sustainability explains: https://t.co/MPFQAl8Os1 @UNClimateSummit #netzerofinance",UNEP_FI,True,26602,Geneva,0,0,0,
2019-12-30 15:00:05+00:00,1211663251207065603,Lessons can be learned from the successive energy policies over years that have lead to significant reductions in carbon emissions over time!  #enviroment #carbonneutral #uk,racrozier,False,1579,"Dollar, UK",0,0,0,
