Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2022-09-04 23:44:42+00:00,1566572994834534400,"@mrwhatsmyname12 @catoposey @InfiDale3476 @GarrettForMI ""Every genocide was done in the name of God or a God.""

Have you heard of Stalin? Mao? Are you aware of what is happening in Xinjiang? 

Man kind does not need religion to be cruel or to justfy cruelty. Sadly it is often used as a reason for it, but its not the only one.",ClimateScience2,False,136,,1,0,1,
2022-09-04 21:58:14+00:00,1566546201784201216,@jasonhickel Conclusions from the paper are highly problematic as it 1) asserts eg China and India have no responsibility and indeed are in credit while 2) assigning emissions in In and Cn to the end consumer countries. So there is 0 incentive for Cn and In to regulate their emissions.,ClimateScience2,False,136,,0,0,0,
2022-09-04 21:53:37+00:00,1566545042587627521,"@jasonhickel Don't disagree with the overall message but some details are misleading. The paper quoted takes a maximalist approach in trying to blame as much as possible on developed countries. Problems: data back to 1850, ignores forest/LUC, consumption based estimates are dubious",ClimateScience2,False,136,,1,0,2,
2022-09-04 18:39:45+00:00,1566496252979621888,"#ClimateScience brings people around the #world together to meet the challenges of #climatechange.

@InfoGujcost &amp; @ClimateChangeD5 successfully completed #teacher training program on bringing climate change into classroom. @vnehra @jitu_vaghani @CMOGuj @PMOIndia @narottamsahoo https://t.co/7aJaqBr7E3",InfoGujcost,True,4626,"Gandhinagar, Gujarat, India",0,26,35,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1566492485882286080/pu/img/vfQCiIaGhiT4Wnnk.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566492485882286080/pu/vid/480x270/KjrrbnrFnZZjXfMx.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1566492485882286080/pu/pl/C8wRWCgjnBnxw2Gp.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566492485882286080/pu/vid/640x360/Qy3dhmctnLdJ2oQM.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566492485882286080/pu/vid/1280x720/LDKETLxYfgusN-T_.mp4?tag=12', bitrate=2176000)], duration=120.48, views=199)]"
2022-09-04 18:29:00+00:00,1566493546802200578,"Only a fraction of the world's ocean, roughly 0.05%, is protected and regulated.
#ClimateScience #ClimateCrisis #ClimateAction",BarcodeDs,False,1016,India ,0,3,4,
2022-09-04 17:30:00+00:00,1566478699968413696,"Per year, roughly 25 million acres of forest are lost, which is comparable to losing approximately 27 soccer fields each minute. However, bottom trawling destroys an estimated 3.9 billion acres of seabed every year.
#ClimateScience #ClimateAction #ClimateCrisis",BarcodeDs,False,1016,India ,0,2,3,
2022-09-04 16:30:15+00:00,1566463664126935040,Climate havens avoid the worst effects of natural disasters and have the infrastructure to support larger populations. What is life like in climate haven cities and which areas in the US are the safest? 🗺️ #StompOutCarbon #ClimateScience  https://t.co/I2ehFYgjCv,onestepscience,False,82,,0,0,0,
2022-09-04 16:30:00+00:00,1566463599224049666,"93% of the world's CO2 is held in the ocean by marine vegetation, algae, and coral, and losing just 1% of this ecosystem is equivalent to releasing 97 million tonnes of CO2.
#ClimateScience #ClimateAction #ClimateCrisis",BarcodeDs,False,1016,India ,0,2,3,
2022-09-04 16:17:31+00:00,1566460457585606656,"""Even if mean temperatures were held below 2°C, people living in the tropics, in particular in India and sub-Saharan Africa, will be exposed to extreme heat for most days of the year, researchers warned.""

#FightFor1Point5 #ClimateJustice #ClimateScience

https://t.co/iqUk7KlYRE",HarmSaeijs,False,2084,Netherlands,2,3,4,
2022-09-04 15:30:00+00:00,1566448501935972355,"As fish migrate down the water column, they cause a tremendous downwelling of the warmer surface water to mix with the cooler water below. 
#ClimateScience #ClimateAction #ClimateCrisis",BarcodeDs,False,1016,India ,0,2,3,
