Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2022-09-04 23:59:58+00:00,1566576840378126336,ette drunk saying she’s worried about global warming and that we’re gonna die 😭😭😭,debnamgracie,False,1258,21,1,0,0,
2022-09-04 23:59:00+00:00,1566576593853526016,"Climate Crisis: How Far Can Changing Your Diet Go To Reducing Global Warming?
https://t.co/4Wv9LuuFPy https://t.co/6QiG2nR1iU",PlanetEmergenc1,False,147,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2Gwt1VsAAHe0k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2Gwt1VsAAHe0k?format=jpg&name=large')]"
2022-09-04 23:58:53+00:00,1566576564556398592,"Millions of people are struggling for food due to COVID, Climate change &amp; insecurity. world leader we need solutions.
#climateBrawl #GlobalWarming #pollution #FRACKING #globalhealth #cleanenergy #sustainableliving #EarthKeepersUnite #ConsciousPlanet 
#GECCI https://t.co/fxmG2uZWZm",JamiluJibril8,False,298,,0,2,3,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2ZEeEXEAEknD9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2ZEeEXEAEknD9?format=jpg&name=large')]"
2022-09-04 23:58:23+00:00,1566576439905775616,@UberFacts Global Warming,and_suffix35,False,273,SoCal,0,0,0,
2022-09-04 23:58:17+00:00,1566576412978716673,If only global warming was actually a real thing. #Sarcasm,tleehumphrey,False,18200,"Calgary, Alberta",2,6,16,
2022-09-04 23:57:40+00:00,1566576258959425538,"@JayDUzumaki Madara. Tbh his plan would've been legit if the otsutsukis didn't exist or at least no evil otsutsukis. The only downside would be the extinction of human beings. Considering they don't have global warming and they have good resource management, the earth would be fine with them",NexusRimikare2,False,2,,2,1,7,
2022-09-04 23:57:35+00:00,1566576237568737280,"@DavidKucher @WhyssKrilm @bruce_arthur A graph that is 11 years old.

Long before global warming added 1 deg C to the average global temperature.

Climate change has already increased your food bill.

https://t.co/1tnGqiuTw5",Syncretiphile,False,395,Earth,1,0,0,
2022-09-04 23:57:26+00:00,1566576199022698496,@BubbasRanch @Kenneth72712993 @freddie07068768 @robhon_ @SumErgoMonstro @priscian @wlbeeton @Moderna5G_666 @Jagster20548365 @aSinister @GlennCarr6 @shicks_sam @IngersolRobert @Syzygy1011 @variegated2 @CrispyCX @pauladamsalber1 @NoelTurner194 @MikeDel21893959 @WayneAllanH @ponycar06 @MartinJBern @NewNormality20 @rln_nelson @ChrisBBacon3 @yeg_sewer_rat @Robin_Hagues @mugger124 @Narvuntien @Veritatem2021 @aaa21usa @Barbarajdurkin @BarbaraGirouard @Michael_D_Crow @ejwwest @Gladfly1 @Marcusgibson @climate_fact @RushhourP @MedBennett @BlasphemousBan1 @RickLazzarini @Hakimi82421476 @insane_voice @IanDJbrown2 @keithamccluskey @JimBlack48 @njbtweet @jgorman2424 @hughjarse5 Roy has no such thing? Interesting. Is he not interested in global warming or something?,jimdtweet,False,691,"Boulder, CO",1,0,1,
2022-09-04 23:56:47+00:00,1566576039014371328,I think you’re the reason for this global warming because you’re daam Hot 🥵.,al7raki,False,6074,شبوة,2,1,0,
2022-09-04 23:56:11+00:00,1566575885226225665,@mageachain @Lillis25 Feicim “global heating” i leaba “global warming” ó am go ham anois. An raibh “téamh” na Gaeilge chun tosaigh mar sin? 🤔,KingDonncha1,False,2445,Seattle,1,0,2,
2022-09-04 23:56:08+00:00,1566575873746149380,"When #climatechange was known as #GlobalWarming not long before  that ozone layer depletion and all that acid rain.
#ClimateCrisis https://t.co/XMgZVFpSDr",Nagpurninja,False,980,Ireland,0,1,4,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1566575828120621056/pu/img/2QDozMu7ao-HYJJ7.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1566575828120621056/pu/pl/uUVAWTRt6wPCLDAW.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566575828120621056/pu/vid/616x360/o1jrVl1JPa30-KD9.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566575828120621056/pu/vid/462x270/uNGJSbZm_aQkuO7j.mp4?tag=12', bitrate=256000)], duration=136.067, views=56)]"
2022-09-04 23:55:58+00:00,1566575833208147968,"Can’t even come home to play anything. Turn my AC and PC on and my breakers go.
Just turn my PC on, they go. But just my AC and it’s fine.
Tv and Phone day it is.
Fuck you for Inventing Global Warming, Al Gore. https://t.co/FLJRw5TJHC",CrayMaybe,False,142,"San Diego, CA",1,0,2,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2YasyUEAEhmFm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2YasyUEAEhmFm?format=jpg&name=large')]"
2022-09-04 23:55:56+00:00,1566575821678059522,"Should be rquired reading for every citizen of planet Earth. Rapidly accelerating global warming will affect all of us by either mass migration to our towns, states, &amp; countries or our own move from places that have become unlivable. It’s already started. https://t.co/a3Tju15p6J",MarcianneWaters,False,63,Moorestown NJ,0,0,0,
2022-09-04 23:55:51+00:00,1566575800593240065,"@JkkCalifornia Yes, global warming is here to stay.",Traitor_Warrior,False,14237,,0,0,0,
2022-09-04 23:55:27+00:00,1566575703679705088,"@JunkScience Why does Milloy focus on the maximum temp in Death Valley -- when Global Warming is crushing the entire American West with record heat waves, epic drought, massive wildfires and water shortages?  Where is Milloy's concern and empathy? https://t.co/OaPKKlzf6E",AandNoa,False,43,,0,0,1,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2YRWlWYAAkeNq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2YRWlWYAAkeNq?format=jpg&name=large')]"
2022-09-04 23:55:16+00:00,1566575657517125632,"@cdavid1760 @lgsplace @JuliePitta Everybody talks racism, but nobody ever does anything about it.  Racism talk is hot air contributing to global warming.  The TL is a raging garbage dumpster fire, a dumping ground for released convicts from California prisons and mentally ill drug addicts from across the nation.",CodornicesPark,False,210,,0,0,0,
2022-09-04 23:54:44+00:00,1566575522825793536,@steveat31545038 @blakandblack NOBODY can afford the Global Warming consequences,Donalds25647148,False,25,,0,0,1,
2022-09-04 23:54:10+00:00,1566575378344321025,@wonderflyy IM ABOUT TO SINGLE HANDEDLY SOLVE GLOBAL WARMING JUST TO MAKE HER COMFORTABLE 😤😤😤,skeleton_fiend,False,150,,0,0,3,
2022-09-04 23:54:03+00:00,1566575348288036864,"@US_Stormwatch #VedicMeteorology 
""Two most accurate weather models in the world (American and European)"" CAN'T give reasons for these extreme conditions, but hide behind Global Warming Orchestra. 
Vague warnings, doing autopsy of past weather by Scientists is farce https://t.co/ga2yczD4og",seshchandran,False,617,"Chennai -600083, India.",1,2,3,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2X-hdWQAYLWfR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2X-hdWQAYLWfR?format=jpg&name=large')]"
2022-09-04 23:53:29+00:00,1566575207040663554,@WallStreetSilv They should be happy about global warming then come March.,SharkSand1,False,8,,0,0,0,
2022-09-04 23:53:16+00:00,1566575152040939520,"@Vjay1 @KarenSuburban @OmarRiverosays So, who is your lord and savior?  It looks like all the communists care about is murdering the unborn….  top of the list…  Agenda item #1…  it’s the religion of the left….oh, and Bwah ha ha ha ….  Global warming.",SpencerTunie,False,18,,0,0,0,
2022-09-04 23:52:56+00:00,1566575068586463232,"For all you people who think global warming is a hoax, PLEASE fall of the face of this earth cause I know you probably also think the earth is flat 😭",nic0lem__,False,400,⛱,1,1,3,
2022-09-04 23:49:57+00:00,1566574317038538753,@denkmit was it the heat? Our final motocross national was about 105 F or so! We need to change Climate Change to Global warming!!!,motobarry111,False,6,SoCal Hell,0,0,0,
2022-09-04 23:49:54+00:00,1566574303432347648,"@Bubblebathgirl Figuring out how to launch a rocket. There maybe something in the ""inflation reduction act"". If it works with global warming it may work with everything else.
I would not be a crew in any of those missions. Dangerous",DixonG_utierrez,False,1433,"MAGA, Florida",0,0,0,
2022-09-04 23:49:27+00:00,1566574191566065666,@acidlure When global warming,LudoVicco1971,False,344,"Windenburg, Simtopia",1,0,12,
2022-09-04 23:49:19+00:00,1566574157579464704,"Hey dummy. I would like nuclear fusion to become a practical power source. It would provide an inexhaustible supply of energy, without pollution or global warming. OH BROTHER",ECOTerminator,False,1,Your Motherboard's house,0,0,0,
2022-09-04 23:48:58+00:00,1566574070077931521,@NBABeau And we are all feeling it today in SoCal and NorCal—108? 109? 99 at the beach.  THIS is Global Warming. And it ain’t fun,DebSpander,False,4489,Los Angeles,0,0,1,
2022-09-04 23:48:54+00:00,1566574051417620481,"@gov_fails Somewhere between options 2 &amp; 3. Happening and a medium deal. Might cost ~2% of GDP but not a catastrophe. I think nukes, low population growth, &amp; pandemics are bigger problems. 

Also switching rhetoric from global warming to climate change was sort of Orwellian and cowardly.",BabyAlchian,False,80,,1,0,1,
2022-09-04 23:48:47+00:00,1566574023936331776,On todays episode of “global warming is real and wildlife is suffering the consequences” 🐀🥵 https://t.co/NFa952kGxh,Cardiac_Cutie,False,5013,,1,0,5,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1566573825835208705/pu/img/XDsSPMrvGN-2DJ7V.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566573825835208705/pu/vid/320x568/VDFZdoL_IprO-BT8.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1566573825835208705/pu/pl/XDLe0Gfu4FBNvpZR.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566573825835208705/pu/vid/480x852/NoeWf8OOT3uhb5M2.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1566573825835208705/pu/vid/720x1280/jaVAi3w5Pdn8vmjN.mp4?tag=12', bitrate=2176000)], duration=64.911, views=156)]"
2022-09-04 23:48:46+00:00,1566574018756354048,"@DebraMo34534607 @ImSpeaking13 See, Global Warming is real.
Re: @DebraMo34534607
https://t.co/4xsKoA8Qu5",EntGRCSolutions,False,3741,"Dublin, CA",0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb1LhsiWIAM102K?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb1LhsiWIAM102K?format=jpg&name=large')]"
2022-09-04 23:48:31+00:00,1566573956454301701,"There is no such thing as global warming. Judson Almeida was cold, so he turned the sun up.",ikateufel,False,454,"Goiânia, Brazil",0,0,0,
2022-09-04 23:48:28+00:00,1566573942545850368,"@MSNBC   funny coincidence, I was  reading T Pratchett's GUARDS GUARDS where the Dragon scared the hell out of the people WHEN the power went out in my neighborhood, it was about 105 degrees❗️ I wonder if folks will be frightened of Global Warming NOW😈🔥🔥⁉️",InfoAttracts,False,1,"California, USA",0,0,0,
2022-09-04 23:47:58+00:00,1566573816884498433,@hxneydpw idk global warming or sum shit,jusmando_,False,19,,0,0,0,
2022-09-04 23:47:18+00:00,1566573649519415296,"@nytimes Wow, NY Times! Tell us somthing we don’t know! It must be caused by global warming! Every Democrat should be buying electric cars right?",skeeterblues,False,15,"Florida, USA",0,0,0,
2022-09-04 23:46:54+00:00,1566573551016153095,"@DanKelly72 The global warming bit! 

What an absolute pillock he is",deanrmarsh,False,1939,"Stafford, England",0,0,0,
