Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2022-09-04 23:59:36+00:00,1566576747218444291,The way i write is the same way I handle food cravings like i cant stop thinking about it then once i have it im satisfied and over it i no longer think about it 😩 thats not sustainable for writing,ResaRambles,False,8,,1,0,0,
2022-09-04 23:58:10+00:00,1566576387284242433,"Essential Native Trees and Shrubs for the Eastern United States: The Guide to Creating a Sustainable Landscape [YTAALWZ]

https://t.co/CHPKHGxF9w",Carli1273200164,False,1,,0,0,0,
2022-09-04 23:57:59+00:00,1566576339460694016,@KarenCicco @jmsheilds @TeddyLesterCoC Here’s the source for the graph about the # Earths. The guy at the beginning worked with the Club of Rome to develop their sustainable world scenario https://t.co/7lMKm7HoZs,DougCarterWrite,False,5867,,0,0,1,
2022-09-04 23:57:33+00:00,1566576229221900288,"@rumillaqta de la reforma política parte todo, cualquier cambio que nos saque del ciclo este. y eso es lo que se propone con el adelanto, reforma política mínima. eso se debe proponer también para la AC. y más divulgación, presentar su estructuración preliminar. no está maduro el tema aún.",sustainable4rth,False,203,Ashenvale,0,0,0,
2022-09-04 23:57:23+00:00,1566576187853492230,Building a sustainable future Teachers taking charge of change - Jammu Kashmir Latest News | Tourism | Breaking News J&amp;K - Top Stories https://t.co/3omo6LOZnQ,Mahsamoulavi,False,2416,"Toronto, Canada",0,0,0,
2022-09-04 23:57:01+00:00,1566576094337290240,How the metaverse could bring us closer to a sustainable reality https://t.co/QuguTksxU1,zaidsunny61,False,229,"Punjab, Pakistan",0,0,0,
2022-09-04 23:56:03+00:00,1566575852133175296,@yuu_0412_hechi ナイスチヌ‼️私は今月未だ釣果無し😭,SustainableTBay,False,2066,千葉県 市川市,0,0,3,
2022-09-04 23:55:59+00:00,1566575834768424961,"By day-to-day rehabilitation, health status of the people will continue to improve.
Therefore, rehabilitation is a method of
sustainable social participation. It has discussed how smart community would be.",nacchi_ayame,False,19,日本 東京,0,0,0,
2022-09-04 23:55:32+00:00,1566575722759602178,"Decentralized sustainable systems are the only way for people to be truly free and independent. 
How did Americans become so brainwashed to think that being dependent on corporations was what it took to be free?",RossCol89474735,False,1248,"Greenville, Ohio",4,5,18,
2022-09-04 23:54:45+00:00,1566575524327342080,"You know how much I appreciate reading this? Compare to other networks Astar has been quiet in terms of how Astar can contribute to our environment, here it is oh so grateful to know that there is a way to keep networks stable and sustainable🍀 So I tell this to my children😊",kaori_ruku,False,3162,Tokyo/London,1,3,10,
2022-09-04 23:54:35+00:00,1566575482417647617,"@rumillaqta ese es el problema. mientras los partidos estén tal como están ahorita, va a haber injerencias de mafias en la constituyente. y eso afecta todo el entorno. ahorita no estamos en condiciones, las mafias estan demasiado metidas en la política. y no quiero que metan mano en una AC.",sustainable4rth,False,203,Ashenvale,1,0,0,
2022-09-04 23:54:34+00:00,1566575478760259586,"#5in4: The Economic Growth Council Looking ""Cool"" https://t.co/30HNSo6ZPJ via @petchary A post from November 2016 ""I was concerned (but not really surprised) that questions of sustainable development, renewable energy, climate change were completely off the agenda.""",Petchary,False,18399,"Kingston, Jamaica",0,0,0,
2022-09-04 23:53:10+00:00,1566575128364068865,The Rise of Bhutan's Sustainable Development Fee https://t.co/J6PaeVUfTJ #TECnews,Energy_Brokers,False,6657,"Edinburgh, Scotland",0,0,0,
2022-09-04 23:53:08+00:00,1566575119564435456,Please tell me Eryk will play 10 going forward. Please. Taking 3pts from a match with our hideous inability to create goals from run of play isn’t sustainable against quality sides. #RCTID,jsbpdx,False,104,"Portland, Oregon USA",0,0,2,
2022-09-04 23:53:05+00:00,1566575107140718594,Gotta love the inconsistency before the 2000's. Here's Marseille combining their 1990-91 away shirt with their 1991-92 home shorts in August 1991 against PSG https://t.co/Q81wXHTI32,SustainableArch,False,986,Chicago,2,0,29,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2XvBTWYAMu0p0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2XvBTWYAMu0p0?format=jpg&name=large')]"
2022-09-04 23:53:00+00:00,1566575084751437826,@MxlianoMills @Roystar05 I've been screaming this bro. What we did today is sustainable over a season. What United did I'm not sure is. But it worked today and props to them for it 👏🏾,DanTheManOnline,False,390,Birmingham,1,0,0,
2022-09-04 23:52:55+00:00,1566575064467656704,#SMI’s Prof @_DanielFranks met with Low Carbon Concrete for the Blue Pacific (Blue Concrete) initiative to discuss the introduction of #lowcarbon cement to #Fiji as a #climate adaption strategy.,SMI_UQ,False,1715,"Brisbane, QLD, Australia",0,0,6,
2022-09-04 23:52:36+00:00,1566574983396179969,"@azsunrise9290 @Alverdonk @letitflye Well, the endeavor has about 600 billion to use if necessary, probably closer to a trillion. Sounds sustainable to me. Have your way with the blood money comment. The Japanese sneak attack at Pearl Harbor killed 2400 Americans. Today, they are a huge trade partner",Isoldmac,False,40,,3,0,1,
2022-09-04 23:52:02+00:00,1566574841787924480,"中の人です(ง ˙˘˙ )ว

老舗繊維商社女性社員が“私たちのほしいもの”を開発したら…🌙
色んな事を大切にするブランドになりました🌸🕊

サステナブル素材× #フェムテック Hogara ブランド開発ストーリー |  https://t.co/W9um6v4zSr
#SBJourney  #SDGs #女性エンパワーメント #企業公式相互フォロー",SB_Journey_,False,285,,0,0,9,
2022-09-04 23:51:58+00:00,1566574823337336833,"@rumillaqta Pero el mecanismo de conformación de la asamblea con que participación es? participación ciudadana, organizaciones sociales, gremios, comunidades indígines y PARTIDOS POLÍTICOS. Hay que cambiar los partidos primero, no sea tibio.",sustainable4rth,False,203,Ashenvale,0,0,0,
2022-09-04 23:51:42+00:00,1566574758103502849,"@Margare20770512 @telerockcaster @WBrettWilson @PierrePoilievre This is what you're calling a good prime minister. Read that article by the Fraser institute.  He's driving business away. 86% of job creation is in the public sector. That is not sustainable. 

https://t.co/YDV4R3P04x",NevesPhilip,False,109,"Burnaby, BC, Canada",0,0,2,
2022-09-04 23:51:39+00:00,1566574743385432065,@TeddyLesterCoC @KarenCicco @jmsheilds It’s likely an invention of the Club of Rome. “The Limits to Growth: A Report to the Club of Rome” (1972) suggested a “sustainable world scenario” using computer models. The UN’s Sustainable Development movement eventually came from that.,DougCarterWrite,False,5867,,0,0,1,
2022-09-04 23:51:27+00:00,1566574695256051712,@makotsuri 日曜日の清掃活動の時に色々聞かせてください😊,SustainableTBay,False,2066,千葉県 市川市,0,0,2,
2022-09-04 23:51:27+00:00,1566574693485723648,@DamnThatsKey Yessir! Gotta be DO-ABLE! Otherwise its not sustainable. My personal trainer been helping with that. I would set unrealistic ass workout goals and then be inconsistent. Now I can do his workouts and then set my own that I actually do and I finally see decent progress,Xandr1205,False,1168,"Riverside, CA",1,0,1,
2022-09-04 23:51:14+00:00,1566574638666158080,"Love this!  An ancient Japanese technique of sustainable forestry called “daisugi”. It allows for lumber production without cutting down trees.
https://t.co/rRLu7Lqh4U",DominiqueWilsn,False,209,South Australia,0,0,0,
2022-09-04 23:51:00+00:00,1566574580478578688,"Recent research shows that new vegan-based #biomaterials could be used instead of #chemical products and #pesticides to help farmers manage their crops in a more #ecofriendly and #sustainable way

https://t.co/dcvQVJ4kMi",Bio_Markets,False,6240,Global ,0,0,1,
2022-09-04 23:50:34+00:00,1566574473503207424,"@Wakjaaa Dia propose ecrl kalau tak silap, ecrl bagi saya tak sustainable untuk commute lebah klang.

Estimate ridership ecrl 5 juta setahun= 13k pengguna sehari. Semestinya total pengguna akan lebih ramai daripada tu untuk sepanjang puncak alam ke KL.

https://t.co/kLaTl9Whhr",thaqifkk,False,790,subang jaya,1,1,1,
2022-09-04 23:50:00+00:00,1566574331022528513,"Cruelty-free and vegan are similar but different. If you want to leave animals out of your beauty routine, look for those that are both free of animal testing AND don’t contain any animal ingredients or byproducts. 

#veganbeauty #crueltyfreebeauty https://t.co/J3ffjokkUu",sustainjungle,False,400,,0,1,1,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2XDTaXgAUZmp1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2XDTaXgAUZmp1?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Fb2XDT0WAAA6FBu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2XDT0WAAA6FBu?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Fb2XDUGXoAYbN3-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2XDUGXoAYbN3-?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Fb2XDV0WYAIRnJ4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2XDV0WYAIRnJ4?format=jpg&name=large')]"
2022-09-04 23:49:59+00:00,1566574323866841088,"@GreenJ Oh no😥 

Here’s a list from Sustainable Gardening Aus of some tried and true methods of deterring possums.
🤞🏽

I hadn’t heard of the Lapsang Souchong tea idea - going to give that a try myself. 

https://t.co/rueB3DptNH",cayteya,False,419,"France, Japan, Australia",0,0,0,
2022-09-04 23:49:19+00:00,1566574156132634624,A real pickup for you! https://t.co/hA73k5dhMz,SustainableLi10,False,114,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2W5HeWQAw5Umc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2W5HeWQAw5Umc?format=jpg&name=large')]"
2022-09-04 23:48:55+00:00,1566574057071558656,".@KwasiKwarteng stop North Sea oil and gas fields and switch to sustainable, affordable, renewable energy now. Our future is hanging by a thread, and the clock is ticking. ⌛️
 
Listen to scientists: prioritise people and the planet 🌍 #StopNewFields",DaytonDevall,False,0,,0,0,0,
2022-09-04 23:48:35+00:00,1566573975236640768,New listing in Ingleside #free #nextdoor #sustainable https://t.co/ybjF8YOcxW,NextdoorFF_SF,False,82,,0,0,0,
2022-09-04 23:48:16+00:00,1566573893082525696,and “become enlightened” is probably not a sustainable or accessible solution for most people just trying to live their life with less suffering. But yeah there has to be a whole spectrum of options between “breathing exercises” (good!) and “Buddha mode” (also good? lol),visakanv,False,43742,"🇸🇬, 🌏, 🌌",3,0,26,
2022-09-04 23:48:09+00:00,1566573866348007424,"@saifedean Tesla is launching their Semi this year.  These trucks are already in operational use by the Frito-Lay/PepsiCo facility in Modesto, CA. All transportation will switch to sustainable electric - much longer life, less maintenance, few moving parts.",CathyKichler,False,437,"Irvine, CA",0,0,0,
2022-09-04 23:48:00+00:00,1566573827752165379,"@xmagicxdreamx @Whatevermind2 @michaelmaxed @POTUS Still right over your head. Someone has to do the profession, and it is currently not sustainable. So changes need to be made. I will not be benefited from this recent small forgiveness. I am not asking for a handout, I have a plan. The point is people can get important degrees…",phlgstndscrd,False,51,,2,0,0,
2022-09-04 23:47:15+00:00,1566573640119996416,"like this shit is not sustainable lol. y'all see the shit with the weeknd too? we cannot, collectively, keep doing this",lucifersshroud,False,92,"Chicago, IL",1,0,0,
2022-09-04 23:47:10+00:00,1566573615319056387,"Don’t believe the hype.

 #electriccars #EV #EMobilily #ElecteicVehicles #Automotive #Sustainable #eVTOL #Lithium #zeroemissions #cars 🚗 #Recycling #ClimateScam #ClimateCrisis #liar #climate #DementiaJoe https://t.co/3416e8goY3",meteorclaim,False,1211,"New Jersey, USA",0,1,1,"[Photo(previewUrl='https://pbs.twimg.com/media/Fb2WZioXEAE0Vx5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fb2WZioXEAE0Vx5?format=jpg&name=large')]"
2022-09-04 23:47:09+00:00,1566573614916603904,@makotsuri ナイスフィッシュ‼️,SustainableTBay,False,2066,千葉県 市川市,1,0,1,
2022-09-04 23:47:02+00:00,1566573585573023746,"Do yourself a favor and stop chasing shiny new tactics. Instead, build a sustainable growth strategy for your #startup that’ll help you reach 1 million customers 👇 #GrowthHacking #DigitalMarketing https://t.co/SeL9Nw9UuF",pallavkaushish,False,1094,"New Delhi, India",0,0,0,
2022-09-04 23:46:16+00:00,1566573389598318597,"@hugomamcguire @mxmntex @EBL2017 We’ve started to play like this bc of personnel issues. That’s mainly de Gea so vs a low-block who doesn’t press us we won’t have that much of a problem in settled attacks. But how many low-blocks are in the league, anyway? Not many. 

Agreed it’s not sustainable, though.",hmcaulfield_,False,318,"Santpedor, Catalunya",0,0,0,
