index,Unnamed: 0,Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media,Keyword,Year
777009,24801,2021-09-06 23:59:59+00:00,1435030045312131078,Im no longer a vegetarian but I do my best to keep meat consumption minimal because animal consumption (especially beef) is one of the largest drivers of climate change.  ,laurenrosemcg,False,89.0,"East Rutherford, NJ, US",0.0,0.0,1.0,"[Photo(previewUrl='https://pbs.twimg.com/media/E-pANizXMAUvty6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E-pANizXMAUvty6?format=jpg&name=large')]",climatechange,2021
287653,12645,2021-05-07 23:09:19+00:00,1390805976446554113,  What happened to global warming? How r they going to be left out in the cold? U r a real  ,JBCrap,False,0.0,,0.0,0.0,0.0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/E00iqWkWQAEn3DV.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/E00iqWkWQAEn3DV.mp4', bitrate=0)])]",globalwarming,2021
471916,23087,2020-08-18 21:39:23+00:00,1295837721919922177,"""Greenland is going to be the canary in the coal mine and the canary is already pretty much dead at this point"" Ian Howat.  The Arctic is at the point of no return right now. climate ClimateEmergency",JoyofVegan,False,2012.0,"Dousman, WI",0.0,1.0,2.0,,ClimateEmergency,2020
736707,21099,2020-07-29 23:35:55+00:00,1288619291294736384,  The final boss will be climate change. I hope its not too late.,KevinTMorales,False,4021.0,"Brooklyn, NY",0.0,0.0,1.0,,climatechange,2020
38585,2087,2019-01-21 23:17:55+00:00,1087489495950413827,  The great America ignore poverty in a growing economy leaving many Homeless and with out work sustainable salaries.,astronomer27,False,63.0,NJ,0.0,0.0,0.0,,sustainable,2019
295851,20843,2021-07-28 23:31:17+00:00,1420527308838952965,The earth always has and always will have the same amount of resources.   Global warming is a scam.,amyremir,False,1.0,,0.0,1.0,0.0,,globalwarming,2021
531869,9940,2018-12-18 11:18:14+00:00,1074987196497780736,All media around the world have a HUGE responsibility to address the ClimateCrisis! Enough with giving the other side equal time! wedonthavetime   ActOnClimate ClimateChange    ,Speak535,False,1021.0,"Halifax, Nova Scotia",0.0,0.0,0.0,,ClimateCrisis,2018
15649,15651,2018-06-06 23:36:20+00:00,1004507312936009728,WHY HONOLULUS FISH AUCTION MATTERS - Americas only fresh tuna auction ensures that local fishermen who prioritize sustainable fishery are getting paid their fair share - by N. Tomki    - READ &gt;&gt;   sustainability tuna swordfish marlin fish  ,KakaakoNews,False,487.0,,0.0,0.0,1.0,"[Photo(previewUrl='https://pbs.twimg.com/media/DfC6EJuUwAAvYJG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DfC6EJuUwAAvYJG?format=jpg&name=large')]",sustainable,2018
482448,33619,2020-12-02 23:42:33+00:00,1334281832892919809,It does. We should seize the opportunity for a green recovery. ClimateAction ClimateEmergency COVID19   ,CarolineBLabour,False,996.0,Worthing,0.0,0.0,0.0,,ClimateEmergency,2020
299194,24186,2021-08-30 23:00:06+00:00,1432478260143837190,"  Yes, it was man made. It's called global warming ",NativeGeronimo,False,534.0,"Texas, USA",0.0,0.0,0.0,,globalwarming,2021
823524,11173,2021-09-24 21:24:01+00:00,1441513777351077894,"To help meet CarbonEmissions goals, reports   Shell sold its PermianBasin oil and gas concerns. The move to leave the basin was a business decision, says       ",BakerInstitute,True,15541.0,"Rice University, Houston, TX",0.0,2.0,2.0,,carbonemissions,2021
862215,11809,2020-08-23 19:05:40+00:00,1297610978524266498,  Dolphin boy is living his best life,ploxified,False,129.0,her/she,0.0,0.0,0.0,,carbonneutral,2020
884637,14955,2021-08-31 15:43:36+00:00,1432730802979213312,.  prints plan to become carbon-neutral by 2035   carbonneutral netzero lowcarbon business climatechange   printing  ,futureNetZero,False,4782.0,,0.0,0.0,0.0,,carbonneutral,2021
519813,34384,2021-12-10 21:28:43+00:00,1469418826177687555,"During COP26, the same youth petitioners from Sacchi v. Argentina asked the   to declare a climate emergency.    ",toniatigre,False,1756.0,New York,1.0,0.0,3.0,,ClimateEmergency,2021
410882,10507,2018-12-15 22:50:06+00:00,1074074147955838976,"And another great song from 350 Pacific Australia. This time from Nomad, letting the Australian Labor Party know that it's time to take the climate emergency seriously. How can anyone take you seriously if you won't StopAdani? CarolsAgainstCoal  ",arrcc1,False,1013.0,Australia,0.0,0.0,0.0,,ClimateEmergency,2018
19725,19729,2018-07-17 23:46:20+00:00,1019367731357999105,"        Thank you for hosting. It was very interesting and I always enjoy discussing urban planning, transit and sustainable development.  TOpoli YouBelong ward20 KV20",QParick,False,120.0,"Toronto, Ontario",0.0,0.0,1.0,,sustainable,2018
337531,12551,2019-11-19 21:07:55+00:00,1196897917858041856,Lack of sunspots could bring a 'Space Age record' for cold weather ExtremeWeather ColdWeather Photo Credit: NASA   ,WxExtreme,False,1245.0,"Lake Tahoe, NV",0.0,0.0,0.0,,extremeweather,2019
180884,15487,2018-06-04 22:53:00+00:00,1003771631943274496,  was buying   bullshit until she said she doesnt believe in global warming ,Wiscker,False,65.0,,0.0,0.0,0.0,,globalwarming,2018
255662,17254,2020-06-21 23:08:54+00:00,1274841754303369218,Boomers: You cant do that. Gen X: Okay. Millennials: Ill figure out a better way. Zoomers: Whatever lets burn it all down global warmings gonna get us anyway.,lucyleid,True,38032.0,North Georgia,1.0,0.0,30.0,,globalwarming,2020
102234,29236,2020-10-19 23:50:35+00:00,1318338788725227520,"  Although, given we've got a matter of years to get governments to mobilize a massive transformation of economies and infrastructure to achieve a sustainable carbon-negative civilization before we hit catastrophic tipping points, perhaps it's time for *scientists* to get political",Eyesgack,False,2086.0,"Evanston, IL",0.0,0.0,11.0,,sustainable,2020
466292,17463,2020-06-23 22:23:48+00:00,1275555180608655360,Humanity can only evolve when we wake up from the collective mindset that is destroying us and embrace the universal vision that will transform us. meditation IQRTG spirituality TuesdayMotivation inspiration wednesdaymorning Universal ClimateEmergency  ,PeterStrother,False,3152.0,Highlands of Scotland,0.0,5.0,7.0,"[Photo(previewUrl='https://pbs.twimg.com/media/EbOurPkXkAQMrrh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EbOurPkXkAQMrrh?format=jpg&name=large')]",ClimateEmergency,2020
472367,23538,2020-08-23 22:58:12+00:00,1297669497034354695,"'The Environment Agency - which claims to put the climate emergency ""at the heart of everything we do"" - has just 94 pure electric vehicles among its 5,000-plus vans, cars, 4x4s and HGVs. '  This is a poor show. ClimateCrisis    ",BrianMcHugh2011,False,2701.0,United Kingdom,0.0,0.0,2.0,,ClimateEmergency,2020
493528,8099,2021-03-22 20:57:20+00:00,1374102920786976771,"Beware! AbolishCorporations R NOT REPORTING EVERYTHING!  ClimateStrike EVERY FRIDAY! EverybodyInNobodyOut! ClimateEmergency FRONTPAGE! Covid longterm effects? Testing 24/7! 148,000,000 American Poor NEED $2000/mo! Medicare 4 All NOW! Rent, mortgage and Student Debt forgiveness!  ",bob_outdoor,False,454.0,Sacred Apache Stronghold Land ,0.0,1.0,0.0,,ClimateEmergency,2021
178890,13493,2018-05-15 22:57:01+00:00,996524882241433600,  Are you saying Global Warming is real? Or is that a new hockey team?,Sooby78,False,116.0,Inconveniently isolated in PA,0.0,0.0,0.0,,globalwarming,2018
312667,1159,2018-01-13 04:59:07+00:00,952042300854751232,Toronto's current temperature of -12.0°C is 4.7°C below the average low of -7.3°C for this date! extremeweather torontoweather,XWeatherTO,False,264.0,"Toronto, Ontario",0.0,0.0,0.0,,extremeweather,2018
708258,29150,2019-10-19 23:53:32+00:00,1185705570894073857,  I wonder if people realize climate change is going to happen regardless if we are here or not or if we do something about it or not its going to happen regardless,ThinkingOfMoney,False,353.0,,0.0,0.0,0.0,,climatechange,2019
338855,118,2020-01-06 23:30:16+00:00,1214328358416334848,Communities across the Lower Mainland are opening ExtremeWeather shelters as heavy rainfall and low temps are expected overnight. Please check our shelter map for details:    ,BC_Housing,True,12202.0,"British Columbia, Canada",1.0,5.0,2.0,"[Photo(previewUrl='https://pbs.twimg.com/media/ENopNEqXkAA9c4i?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENopNEqXkAA9c4i?format=jpg&name=large')]",extremeweather,2020
