Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2019-12-30 23:59:51+00:00,1211799090473816065,@purplesemicolon @timhaneyphd @KarenFilewych Sometimes I find tunnels and forget to eat. It’s not sustainable.,DrRadzikowska,False,1117,"Alberta, Canada",0,0,0,
2019-12-30 23:59:51+00:00,1211799090004148224,"Coming to #StVincentandtheGrenadines?#Ecotourism experiences showcase the unique offerings of the #Caribbean in a sustainable,earth-friendly way, meaning visitors can help to ensure that the beauty of #SVG is in safe hands for future generations to explore https://t.co/ZztXgxEI3t https://t.co/CpYAO7fG1d",GrenadinesHome,False,5241,St Vincent and the Grenadines,0,4,12,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEs2ODW4AEpPX_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEs2ODW4AEpPX_?format=jpg&name=large')]"
2019-12-30 23:59:48+00:00,1211799076150349824,"The Dirty Lazy Keto Cookbook includes 100 easy, accessible, and fun recipes to support you on your unique path to realistic and sustainable weight loss, not perfection. On sale 1/7 @140lost https://t.co/G2nO0GHyPA https://t.co/ANuj2T8u7j",SimonSchusterCA,False,23564,"Toronto, Ontario",0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEs1nEWoAAOAOQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEs1nEWoAAOAOQ?format=jpg&name=large')]"
2019-12-30 23:59:13+00:00,1211798930586947585,"Sustainable vs renewable energy.

https://t.co/AwMZOlQk4q",YRUnotlistening,False,753,"London, W10",0,0,0,
2019-12-30 23:58:50+00:00,1211798834172563457,sza said thicc and sustainable,uncutnaturist,False,757,bay area | miami 🇻🇪,0,0,0,
2019-12-30 23:58:38+00:00,1211798782142119936,"@imrnbsh The sustainable &amp; equitable solution comes from moving people, not cars. We’re starting with improving our public transport, now we have to negotiate our public spaces by reducing lanes for cars - it’s not an easy process and it has to a collective one. Diff kind of bottom up 😂",yasminimin,False,174,"Petaling Jaya, Selangor",0,0,0,
2019-12-30 23:58:19+00:00,1211798704065302528,@ChefAaron26 It’s mostly luck and not sustainable. Look at the Bucs this year. Unlucky FG miss. Unlucky fumble recovery nullified. Unlucky FG misses on Sunday. Lucky goalline tackle. Lucky colts victory.,beingbecks78,False,1749,Florida,1,0,2,
2019-12-30 23:57:37+00:00,1211798526222581763,"Can food be socially just and cheap? The best books on sustainable eating

https://t.co/scRtD42s7O",sm2017juliet,False,132,,0,0,0,
2019-12-30 23:57:22+00:00,1211798464377577472,I've just posted a new blog: Launched mindfulness and sustainable fashion brand. Would love to hear your thoughts on how I can improve our sustainability efforts https://t.co/NJ4OzLodPq,ecofashionguide,False,13,"North Carolina, USA",0,0,0,
2019-12-30 23:57:02+00:00,1211798380642324480,"Using sustainable materials is one of the biggest ways that we can change the environmental impact of the fashion industry — and @siizu_official continually inspires us with their innovation in this area! For the Winter Cozy Convertible Mittens, they used recycled polyester 🧤 https://t.co/dI6CJCqe9Q",causebox,False,7883,"Los Angeles, CA",0,0,3,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEsMxIU8AAxbSG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEsMxIU8AAxbSG?format=jpg&name=large')]"
2019-12-30 23:57:01+00:00,1211798374627852288,Brand new #investing #advice and #tips for #Canadians - Generate a Sustainable Passive Income Today With Bargain Dividend Stocks https://t.co/KbPB91N7Gg,mangiaBOX,False,40,,0,0,0,
2019-12-30 23:56:37+00:00,1211798273314308096,"Last note to add (for now) what’s coming to my shop is thrifted items! Since eco friendly + sustainable lifestyle is my main goal for my shop, I want to incorporate thrifted items also 💛",cedzvega,False,1461,"California, USA",1,0,2,
2019-12-30 23:56:01+00:00,1211798125364596736,"@sortareligious I don't think it's sustainable, when you get into the weeds, and it'll be interesting to see what happens.",RevTimCallow,False,845,"Bad Axe, MI",0,0,3,
2019-12-30 23:55:23+00:00,1211797962361315334,"im all here for critiqueing fast fashion, but maybe realize that a lot of people who purchase it are the same people that cant afford a more sustainable or ethical alternative.",miemzel,False,444,laverre city,0,0,1,
2019-12-30 23:54:26+00:00,1211797725060063233,"@CloverMoore @RedCrossAU Hey @CloverMoore , time to ditch light shows based on explosive fireworks and switch to something more sustainable. China uses holographs and drones, why not Sydney? HNY 🌱🙏

https://t.co/Qg7tSnblt3",deanacoulter,False,353,Gayamaygal Country,0,0,1,
2019-12-30 23:52:36+00:00,1211797264986988544,"@ThembiMrototo @MbalulaFikile Roads operational costs of municipalities are so extreme that, it could well be impossible, without innovative external assistance, to catch up with existing maintenance backlogs and realize sustainable operations.",RV_317,False,75,,1,0,0,
2019-12-30 23:51:59+00:00,1211797109483212800,"@TrentWoodhill @rickeyrecricket @legsidelizzy Agreed 100%, essential for a high quality, sustainable tournament to have the best players playing in it as much as they can.  IPL proves that, it's where the Big Bash and the Blast fall short on quality",L_EToffee,False,684,,1,0,0,
2019-12-30 23:51:47+00:00,1211797058262372352,@gr82basoccermom I’d probably try WW because I do think it will phase you out of strict keto into something more sustainable for long term maintaining,Jessicababb,False,271,Tennessee,0,0,1,
2019-12-30 23:51:29+00:00,1211796983243005952,"@MOMsOrganicMrkt @Ombresque I’m grateful for your efforts to push for a sustainable, circular economy! 😊",srfrjulie,False,2756,"Washington, DC",1,0,3,
2019-12-30 23:51:27+00:00,1211796976376807424,"@AaronYova @davidschor @alix_real @MorningConsult Can you list some of his positives, please? I was under the impression his support was mostly name recognition and assocation with Obama coupled with anti-Trump insanity after 3+ years of Trump Derangement Syndrome. #TDS 
Doesn't seem sustainable.",HenryBabcock,False,205,California,2,0,0,
2019-12-30 23:51:14+00:00,1211796920856768512,"India betters sustainable development score, no state in lowest category now https://t.co/8kvgsnkg4D via @timesofindia",RSRINIVASABABU1,False,4,"Hyderabad, India",0,0,1,
2019-12-30 23:50:26+00:00,1211796719538724865,"Applying to get some loan payments reduced to better reflect my current income so I can MAYBE afford this... But realized in my current situation, my bills next month are going to be about 80% of my average monthly income, which is NOT sustainable...",theAnjelGrace,False,4083,🌌 Your dreams 🌌 She/her,1,0,1,
2019-12-30 23:49:37+00:00,1211796514793652224,"@JohnGri42042715 @candmoneill @DoKitB @Deefadog4me @tyrelle123 I'm not defending any political parties proposal. And that's irrelevant to whether the present FC handout is neutral, fair or sustainable. I'm arguing it's a bad rule that needs to change, at least with respect to low tax entities.",Jim_Pembroke,False,7558,Brisbane,2,0,0,
2019-12-30 23:48:42+00:00,1211796284350353408,"#chargerstories:

Today @ the Rade supercharger: #emobility meeting to welcome Oliver and his new M3. Besides other #BEV there was this Model X “Peace Police”. Good combination: peace - BEV - mobility without oil...

#eMobility
#sustainable https://t.co/3ScgBR822r",Captn_Hype,False,732,Germany,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEqSf3W4AEEqlN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEqSf3W4AEEqlN?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/ENEqSf4XUAEBP_J?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEqSf4XUAEBP_J?format=jpg&name=large')]"
2019-12-30 23:48:38+00:00,1211796267375976449,@HoarseWisperer Start a sustainable hobby farm.,andrea30656,False,8473,"Atlanta, GA",0,0,0,
2019-12-30 23:48:32+00:00,1211796240972668928,#Vegan #shoes will become the next #Sustainable plant-based #fashion in 2020 - Mash Viral https://t.co/kUXicO6gvV,SaeedBaygi,False,13747,Global,0,0,0,
2019-12-30 23:48:30+00:00,1211796231074136064,"India betters sustainable development score, no state in lowest category now https://t.co/6mUyLa5TSe via @timesofindia @WIONews @ndtv @republic @IndiaToday @PTI_News @WSJ @FoxNews @NewYorker @washingtonpost @nytimes @BBCWorld @cnni @GreaterKashmir @KashmirSource @JammuKashmirNow",drjknanda,False,951,"Bhubaneshwar, India",0,0,0,
2019-12-30 23:48:23+00:00,1211796201428967429,"Great day on my shoot today. Partridge, Pheasant and my first Snipe 👍

#britishgamealliance #binghamamdjones #sustainable #britishgame #protien #npd #chefsofinstagram @ Lytham St Annes,… https://t.co/3y9XuMkaoi",dtjchef,False,9,"Catforth , Preston",0,0,0,
2019-12-30 23:48:04+00:00,1211796121095245824,"@tofu_titty So now you don't read. Why am I not surprised...but also, you feeding a whole family beans and you think that's more sustainable for a low income family than buying meat and satisfying the little tummies kids have? You can't be real thinking beans and legumes are gonna do it https://t.co/nltCQ775tq",BrownEyed_Babee,False,3126,"Pittsburgh, PA",0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/ENEqJRMUUAIjZDU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ENEqJRMUUAIjZDU?format=jpg&name=large')]"
