Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media
2022-09-12 21:55:22+00:00,1569444584333398016,@drdavidbull your co panellist Mr Anisiobi is a bit hopeful to suggest Harry can educate people on climate change. Harry doesn't have the capability to be able to argue the case against experts who don't believe in climate change. It's easy to make unopposed opinions....,Tollingtonian,False,4,"Cambridge, England",0,0,0,
2022-09-12 21:55:15+00:00,1569444555958927360,@ShaunGelling @DrHWeb @ManxShepherdess Don’t forget climate change,ManxBirdLife,False,1562,"Laxey, Isle of Man",0,0,0,
2022-09-12 21:55:13+00:00,1569444548123967488,"@RageSheen “Infection will end the pandemic”,  “fossil carbon mining will fix climate change” and “guns will fix shootings”: these pearls of advice originate within a tiny group of billionaire funded US “think tanks” and then, by some miracle of journalism, are promulgated across the 🌎.",Dale13260598,False,340,Australian Capital Territory,0,0,0,
2022-09-12 21:55:12+00:00,1569444541731868672,@WhangThe @HoraceHickling @RiXHD @UncleScorp @PierrePoilievre Climate change inflation is coming for food in 2023. You haven’t seen anything yet,Snowcow79,False,192,,0,0,0,
2022-09-12 21:55:09+00:00,1569444530486923264,@Harry__Faulkner @TrueNorthCentre Trudeaus plan is to destroy Canadians ! First tax everyone to death and if that doesn’t work make everyones food so expensive that they will be broke before the Canadian dollar crashes! All in the name of climate change &amp; vaccines Or is he run by WEF?,NancyH88480524,False,10,,0,0,0,
2022-09-12 21:55:06+00:00,1569444518872875008,"Tackling #climatechange requires collaboration between business, government and even competitors. Siemens Energy is driving #decarbonization with the intelligent linking  of the energy sector with other sectors such as marine and aviation 👇 https://t.co/0JBrpNT9Lf",aldobaron,False,20,,0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1569444483963699200/pu/img/84dg5QmmO9weqDdz.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1569444483963699200/pu/vid/640x360/SpGiD0uR1r8keWNZ.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1569444483963699200/pu/vid/1280x720/8-JEVxTwoKdz1WuX.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1569444483963699200/pu/pl/ixikJGD64r4slNFl.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1569444483963699200/pu/vid/480x270/dW-pNgpOYU2XPQUF.mp4?tag=12', bitrate=256000)], duration=59.157, views=0)]"
2022-09-12 21:55:04+00:00,1569444510580752384,Climate change likely to increase co-occurrence of island endemic and ... https://t.co/Q3Kpf2muLz,Vidal_Eric_isld,False,1791,"New Caledonia, Pacific",0,0,0,
2022-09-12 21:55:02+00:00,1569444499591405568,"#StarWrites

he thought
the energy market
was fool's play
a little oil
some gas
that's all
climate change
is just a game
for another day
till the Santa Ana winds
led the fires his way
burning away
all his yesterdays
&amp; all his tomorrows

#poetry 
#micropoetry
#poetrycommunity",BklynMercado,False,18399,Ohio,0,0,0,
2022-09-12 21:55:01+00:00,1569444496664051713,Opinion | Climate Change Won't Spare Our Mental Health | @medpagetoday  https://t.co/DeaeXkurxz,AliNeitzelMD,False,2007,"Chicago, IL",0,0,0,
2022-09-12 21:54:59+00:00,1569444486643855360,"@Dope_Strains @davidrvetter I'm addressing anyone who cares to advance policy to address climate change. There are exactly zero situations whore clearing up misinformation by shining the light of truth on it is anti-scientific. Simply insisting that ""science says"" doesn't do this. Engaging dissenters does",BentleyBaxter,False,112,Accardi-by-the-Sea,0,0,0,
2022-09-12 21:54:55+00:00,1569444470810378241,"If only the queen cared about climate change before hell accepted its latest occupant, then maybe her millions of mewling simps would care about something that really matters",_marcoslevy,False,1496,,0,0,0,
2022-09-12 21:54:52+00:00,1569444459355717632,"Hitting the town on your Bike in Nevada, instead of driving a car, will remarkably lowers the chances of poor air quality, Climate change is real, so let's do something about it, this tweet is Proudly sponsored by, EcoOps",BotBicycle,False,35,"Wheeling, WV",0,0,0,
2022-09-12 21:54:46+00:00,1569444432117923842,"@bevlarson60 @AdamForColorado We humans are a curious species. We become enraged over politics but don't react to an existential threat like climate change. NASA, 2020  hottest year on record. WMO, 2021 one of 7 hottest. NOAA, July 2022 sixth hottest. Not normal! Climate is on the ballot #VoteBlue22.",sulnick1,False,813,"Santa Barbara, CA",0,0,0,
2022-09-12 21:54:44+00:00,1569444426841292800,"Day 1659
#climatechange #climatecrisis #climatechangeart https://t.co/U6pJCrApxV",2000daysremain,False,0,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfJXtHWAAMv0om?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcfJXtHWAAMv0om?format=jpg&name=large')]"
2022-09-12 21:54:36+00:00,1569444390111956998,"@CrazyLadyTrader I’ve been watching 07-08 Simpsons looking for clues, and it’s amazing the parallels. Climate change was supposed to wipe out the ice caps back then too… oh and in the 1970s. I’m still waiting on an ice age or heat wave to take us out.",momtalksstock,False,9925,The moon,0,0,1,
2022-09-12 21:54:34+00:00,1569444381580730368,Listen up: Fighting a rancor is a perfect example of climate change deniers going too far,StarWarsTakes,False,24,Coruscant,0,0,0,
2022-09-12 21:54:27+00:00,1569444353269207041,"@Seebo429 I really appreciate anyone advocating any kind of stance to help mitigate climate change. So thank you! (Also, I’ll throw in a reference to my own favourite approach, #Degrowth.)",MpDetta,False,55,,0,0,0,
2022-09-12 21:54:24+00:00,1569444339419615233,"Day 1661
#climatechange #climatecrisis #climatechangeart https://t.co/WhgllCnNs2",2000daysremain,False,0,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfJS86XEAMTEMG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcfJS86XEAMTEMG?format=jpg&name=large')]"
2022-09-12 21:54:21+00:00,1569444327306444802,@MelissaMbarki I am a climate change denier and I will no longer be bullied to pretend otherwise.  The hoax ends today. https://t.co/2p7ZwdPMf1,Dudders67,False,1033,Alberta,0,0,0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FcfJSbBaIAIPW6_.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FcfJSbBaIAIPW6_.mp4', bitrate=0)])]"
2022-09-12 21:54:19+00:00,1569444320939507713,#TEMPERATURE #climatechange https://t.co/D09pQTCZWi,tprzechlewski,False,153,Sopot,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfJSl-aQAAICAX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcfJSl-aQAAICAX?format=jpg&name=large')]"
2022-09-12 21:54:17+00:00,1569444310663458816,"@johncraven1 “Downtown has experienced flooding in a number of different storms recently… In Westport, Tooker wants to add foliage around the town's parking garages to prevent flooding. They just need the money.” all good and great but has nothing to do with climate change.",mrpopadapolis,False,110,im over here now,0,0,0,
2022-09-12 21:54:15+00:00,1569444301947428866,"@AlexanderMcCoy4 @rafaelshimunov 1) The first part of your statement is not entirely unassailable. To slow climate change, we need to cut energy use, and to make it survivable, we need to mitigate. Urban heat islands are a massive crisis in the making.
2) Millions want to move because we've gutted other areas...",edfischman,False,1736,Maryland mostly,0,0,0,
2022-09-12 21:54:01+00:00,1569444243705581568,"Day 1664
#climatechange #climatecrisis #climatechangeart https://t.co/MOqcOYUx2v",2000daysremain,False,0,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfJNWkXgAAq1Gb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcfJNWkXgAAq1Gb?format=jpg&name=large')]"
2022-09-12 21:53:58+00:00,1569444232330645505,@disclosetv but climate change!?,CnutII,False,2452,None of your business,0,0,0,
2022-09-12 21:53:57+00:00,1569444229881151488,"Given the urgency of climate change, one thing is clear: #partnerships are key because no one company or country can do it alone! Sector collaboration is a great example of how Siemens Energy is driving decarbonization in the marine industry and empowering sea change! 👇 https://t.co/OkYsRaGHz0",aldobaron,False,20,,0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1569444094405115904/pu/img/K_8047nvP48edQRi.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1569444094405115904/pu/pl/MYVcOYrLx6RQPC-Z.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1569444094405115904/pu/vid/1280x720/4yjWFW4zVfCdG5q9.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1569444094405115904/pu/vid/480x270/pCzYSf7FwwEAT3Y4.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1569444094405115904/pu/vid/640x360/UmqU5CwwvEw66mJ_.mp4?tag=12', bitrate=832000)], duration=132.48, views=0)]"
2022-09-12 21:53:54+00:00,1569444214538371074,"@c_hopp2014 @nationalpost @farmershelper @wef Extremely curious that the WEF had #pandemic and global #oilpriceshock on the list of global risks in 2006 - by 2020 GONE, replaced by #ClimateChange. Then what happened?  https://t.co/IX9NEzl7eP #cdnpoli #ForeignInterference #NotAConspiracyTheory #Fact",FriendsOScience,False,42926,,0,0,0,
2022-09-12 21:53:46+00:00,1569444183550865409,@greger_mary @patriottakes @2020survivor16 Two words: Climate Change,RealKieranLyons,False,2316,"Shoreline, Connecticut",0,0,0,
2022-09-12 21:53:39+00:00,1569444152680804352,"@RojoRurba002 Immigration reform is sorely needed, but that alone will not stop people coming. With climate change is already threatening C. America. The pollical and gang situations are also driving factors. A comprehensive solution is needed and that doesn't fit republican rhetoric.",rainwolf127,False,5442,Tennessee,0,0,0,
2022-09-12 21:53:38+00:00,1569444150008844289,"Day 1665
#climatechange #climatecrisis #climatechangeart https://t.co/3tQ50Cbvch",2000daysremain,False,0,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfJHz1WIAIycxJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcfJHz1WIAIycxJ?format=jpg&name=large')]"
2022-09-12 21:53:34+00:00,1569444133659607040,"@SuzieBird4 @Cindy_Banyai_FL We humans are a curious species. We become enraged over politics but don't react to an existential threat like climate change. NASA, 2020  hottest year on record. WMO, 2021 one of 7 hottest. NOAA, July 2022 sixth hottest. Not normal! Climate is on the ballot #VoteBlue22.",sulnick1,False,813,"Santa Barbara, CA",0,0,0,
2022-09-12 21:53:33+00:00,1569444125707235330,In photos: A summer of drought and fire Climate change in action.  https://t.co/PNI2595tjn,Archaeologist03,False,20974,West Coast,0,0,0,
2022-09-12 21:53:23+00:00,1569444086394011649,"@SeascapeScience @cathmmit @BigelowLab Just saw this!  Fantastic!  I have questions.     Sent an email to Catherine.    This is one of the most important areas of climate change and til now,  not studied enough!   Thanks!!!",davezerafa,False,104,MI,0,0,0,
2022-09-12 21:53:22+00:00,1569444081801252864,But NASA put this up. if you enquire why you get blocked. I  think their PR people are let loose https://t.co/jnp6t6DlQQ,MichaelOrwell2,False,36,Sydney,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfIwnqaUAE4e6e?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FcfIwnqaUAE4e6e?format=png&name=large')]"
2022-09-12 21:53:20+00:00,1569444072477327360,@POTUS With what? Climate change restrictions? 🤡world,TomKay05869718,False,3361,Planet Earth,0,0,0,
2022-09-12 21:53:19+00:00,1569444068786335745,"Now that climate change/chaos is happening, we will get the steady stream of news that had been missing in the 1990s/2000s when we likely needed it the most https://t.co/XYe8s7pwuN",BiellaColeman,False,50035,The internets,0,0,0,
2022-09-12 21:53:13+00:00,1569444045348569089,"Day 1666
#climatechange #climatecrisis #climatechangeart https://t.co/pehHv8lByV",2000daysremain,False,0,,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FcfJBRWXkAEWLZ_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcfJBRWXkAEWLZ_?format=jpg&name=large')]"
2022-09-12 21:53:13+00:00,1569444041460428801,"@AshleyBurkeCBC So they had a retreat on the west coast last week, now one on the east coast. Yup climate change 👍",LacanneJoe,False,6,,0,0,0,
2022-09-12 21:53:08+00:00,1569444022132916224,"“Creators have bypassed traditional content distribution and now own their audience.”- @auxmode CEO Adam Rumanek

Check out this piece about the current impact of the Creator Economy🧑‍💻📈: https://t.co/cZm6Tdgi2L

#CreatorEconomy #TechForGood #AI #ClimateChange",Communitech,True,38456,"Waterloo Region, Ontario",0,0,0,
2022-09-12 21:52:59+00:00,1569443984552136704,"@GordinSuzie OhFFS. I don't know what y'all been drinkin' for the past 7 years but stop. Donald is a traitor. The evidence is CRYSTAL CLEAR. Joe Biden's time in the WH is full of historic legislation to help us fight climate change and update infrastructure, create jobs. You don't care?",misplacedsouthy,False,2285,Earth,0,0,0,
2022-09-12 21:52:55+00:00,1569443969452351489,Do you live in the US? Are you familiar with coal and gas companies? They won’t give up easily. They won’t transition as quickly as climate change requires  us to. But I’m glad you support the Green New Deal.,proudpolitical2,False,9,United States,0,0,0,
